,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
26.0,개방화장실,법제3조제16호-영제3조제1항제1호,고덕1동주민센터 화장실,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,4,8,1,1,0,0,8,1,0,강동구 고덕1동주민센터,02-3425-7520,정시,(평일)09:00~18:00,2017-06,37.5572592,127.1515131,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,Y,N,"""""","""""",2024-01-29
27.0,개방화장실,법제3조제16호-영제3조제1항제1호,고덕2동주민센터 화장실,서울특별시 강동구 아리수로78길 43-12,서울특별시 강동구 고덕동 226-4,1,3,0,0,0,0,1,1,0,강동구 고덕2동 주민센터,02-3425-7550,정시,(평일)09:00~18:00,1990-06,37.5605,127.1644,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
28.0,개방화장실,법제3조제16호-영제3조제1항제3호,암사1동주민센터 화장실,서울특별시 강동구 올림로98가길 57,서울특별시 강동구 암사동 493-13,2,2,1,0,0,0,1,0,0,강동구 암사1동 주민센터,02-3425-7580,정시,(평일)09:00~18:00,1978-08,37.5514726,127.132669,공공기관-지방자치단체,수세식,Y,N,"""""",Y,Y,여자화장실,"""""",2024-01-29
29.0,개방화장실,법제3조제16호-영제3조제1항제3호,암사1동 자치회관 화장실,서울특별시 고덕로24길 49,서울특별시 강동구 암사동 474-6,3,6,1,1,0,0,6,0,0,강동구 암사1동 주민센터,02-442-2592,정시,(평일)09:00~18:00,1994-08,37.552405,127.1356376,공공기관-지방자치단체,수세식,Y,N,"""""",Y,Y,여자화장실,"""""",2024-01-29
30.0,개방화장실,법제3조제16호-영제3조제1항제1호,암사2동주민센터 화장실,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,1,1,0,0,0,0,2,1,0,강동구 암사2동 주민센터,02-3425-7610,정시,(평일)09:00~18:00,2011-12,37.551831,127.127265,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,"""""",2024-01-29
31.0,개방화장실,법제3조제16호-영제3조제1항제1호,암사3동주민센터 화장실,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,10,15,0,0,0,0,14,0,0,강동구 암사3동 주민센터,02-3425-7648,정시,(평일)09:00~18:00,2008-05,37.555,127.1409,공공기관-지방자치단체,수세식,Y,N,"""""",N,Y,남자화장실+여자화장실,"""""",2024-01-29
32.0,개방화장실,법제3조제16호-영제3조제1항제1호,천호1동주민센터 화장실,서울특별시 강동구 구천면로42길 59,"서울특별시 강동구 천호동 76-2, 천호1동주민센터",4,8,0,0,0,0,8,0,0,강동구 천호1동 주민센터,02-3425-7670,정시,(평일)09:00~18:00,1994-12,37.545,127.1368,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
33.0,개방화장실,법제3조제16호-영제3조제1항제1호,천호2동주민센터 화장실(임시청사),서울특별시 강동구 올림픽로 698,서울특별시 강동구 천호동 358,4,3,0,1,0,0,4,0,0,관리사무소,"""""",정시,(평일)09:00~18:00,2020-06,37.5435,127.1255,민간소유-법인,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
34.0,개방화장실,법제3조제16호-영제3조제1항제1호,성내3동 주민센터 화장실,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,1,2,1,0,0,0,3,0,0,강동구 성내3동 주민센터,02-3425-7822,정시,(평일)09:00~18:00,1989-05,37.5261,127.1328,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
35.0,개방화장실,법제3조제16호-영제3조제1항제1호,둔촌2동주민센터 화장실,서울특별시 강동구 천호대로186길 7,서울특별시 강동구 둔촌동 65,0,1,1,0,0,0,2,0,0,강동구 둔촌2동주민센터,02-3425-7910,정시,(평일)09:00~18:00,1986-11,37.533283,127.141959,공공기관-지방자치단체,수세식,Y,N,"""""",Y,N,"""""","""""",2024-01-29
36.0,개방화장실,법제3조제16호-영제3조제1항제3호,중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,서울특별시 강동구 둔촌동 6-2,2,3,1,1,0,0,8,1,0,한국보훈복지의료공단 중앙보훈병원,02-2225-4306,정시,08:30~17:30,2011-06,37.5306445,127.148223,공공기관-국가공공기관,수세식,Y,Y,장애인화장실,Y,Y,여자화장실,"""""",2024-01-29
37.0,개방화장실,법제3조제13호,온조대왕문화체육관 화장실,서울특별시  강동구 고덕로 285,서울특별시 강동구 고덕동 296,2,4,1,1,0,0,3,1,0,서울특별시강동구도시관리공단,02-2045-7800,정시,06:00~22:00,2004-12,37.5581855,127.1586598,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,"""""",2024-01-29
38.0,개방화장실,법제3조제13호,강동유소년스포츠센터 화장실,서울특별시 강동구 상일로12길 60,서울특별시 강동구 상일동 483,2,2,1,0,0,0,4,1,0,서울특별시강동구도시관리공단,02-3428-7979,정시,09:00~22:00,2014-12,37.5552978,127.1741901,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,"""""",2024-01-29
39.0,개방화장실,법제3조제13호,명일테니스장 화장실,서울특별시 강동구 동남로 785,서울특별시 강동구 명일동 221-1,1,1,0,0,0,0,1,0,0,서울특별시강동구도시관리공단,02-2045-7870,정시,06:00~22:00,2019-09,37.5445404,127.1537817,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,"""""","""""",2024-01-29
40.0,개방화장실,법제3조제13호,강일테니스장 화장실,서울특별시 강동구 아리수로93가길 314,서울특별시 강동구 강일동156-7일원(강동대교 하무),1,1,0,0,0,0,2,0,0,서울특별시강동구도시관리공단,02-2045-7872,정시,06:00~22:00,2020-07,37.5703848,127.1718413,공공기관-지방자치단체,수세식,Y,N,"""""",N,N,"""""","""""",2024-01-29
41.0,개방화장실,법제3조제13호,고덕어울림수영장 화장실,서울특별시 강동구 고덕로399,"""""",3,4,1,1,0,0,8,1,0,서울특별시강동구도시관리공단,02-2045-7630,정시,06:00~22:00,2020-10,37.5577148,127.1700554,공공기관-지방자치단체,수거식,Y,Y,장애인화장실+여자화장실,N,N,"""""","""""",2024-01-29
42.0,개방화장실,법제3조제13호,샘터배드민턴장 화장실,서울특별시 강동구 동남로 990,서울특별시 강동구 고덕동 287,2,2,1,0,0,0,4,1,0,서울특별시강동구도시관리공단,02-2045-7875,정시,06:00~22:00,2018-06,37.5618385,127.1590211,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,"""""","""""",2024-01-29
43.0,개방화장실,법제3조제15호,강동구민회관 화장실,서울특별시 강동구 상암로 168,서울특별시 강동구 천호1동 41번지,2,4,2,1,0,0,3,2,0,서울특별시강동구도시관리공단,02-488-5542,정시,09:00~22:00,2005-05,37.5457033,127.141156,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,"""""",2024-01-29
44.0,개방화장실,법제3조제15호,민속의집 화장실,서울특별시 강동구 고덕로83길 55,서울특별시 강동구 고덕동 215,1,1,0,0,0,0,0,0,0,서울특별시강동구도시관리공단,02-2045-7640,정시,09:00~18:00,2005-05,37.5598189,127.1675496,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,"""""","""""",2024-01-29
45.0,개방화장실,법제3조제5호,강동그린웨이가족캠핑장 화장실,서울특별시 강동구 천호대로206길 87,서울특별시 강동구 둔촌동 562-8,2,3,1,1,1,1,5,1,1,서울특별시강동구도시관리공단,02-478-4079,상시,"""""",2009-08,37.5361071,127.1533068,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,"""""",2024-01-29
46.0,개방화장실,법제3조제13호,해공문화체육관 화장실,서울특별시 강동구 천중로 18길 61,서울특별시 강동구 천호동 399-1,1,2,0,0,0,0,3,0,0,서울특별시강동구도시관리공단,02-2045-7651,정시,06:00~22:00,2003-11,37.5421191,127.1298669,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,"""""","""""",2024-01-29
47.0,개방화장실,법제3조제13호,일자산1체육관 화장실,서울특별시 강동구 동남로 660,서울특별시 강동구 둔촌동 산140,2,3,1,0,0,0,7,0,0,서울특별시강동구도시관리공단,02-2045-7860,정시,06:00~22:00,2008-03,37.5330568,127.151191,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,여자화장실,"""""",2024-01-29
48.0,개방화장실,법제3조제13호,일자산2체육관 화장실,서울특별시 강동구 동남로 620,서울특별시 강동구 둔촌동 산14-1,1,1,0,0,0,0,1,0,0,서울특별시강동구도시관리공단,202-045-7864,정시,06:00~22:00,2008-10,37.5281764,127.1509556,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,N,"""""","""""",2024-01-29
49.0,개방화장실,법제3조제5호,암사선사유적지 화장실,서울특별시 강동구 올림픽로 875,서울특별시 강동구 암사동 139-2,2,4,1,0,0,0,4,0,0,서울특별시강동구도시관리공단,02-3425-6532,정시,09:30~18:00,"""""",37.5609568,127.1306436,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,N,Y,남자화장실+여자화장실,"""""",2024-01-29
50.0,개방화장실,법제3조제16호-영제3조제1항제1호,안말공영주차장 화장실,서울특별시 강동구 풍성로45길 11,서울특별시 강동구 성내로 512,0,0,1,1,0,0,1,1,0,강동구도시관리공단,02-2045-6147,상시,"""""",2023-10,37.53168,127.13,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
51.0,개방화장실,법제3조제16호-영제3조제1항제1호,천호1동공영주차장 화장실,서울특별시 강동구 구천면로 42길 60,서울특별시 강동구 천호동 87-26,2,2,0,0,0,0,2,0,0,강동구도시관리공단,02-2045-6147,상시,"""""",2001-12,37.54489,127.1367,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
52.0,개방화장실,법제3조제16호-영제3조제1항제1호,천호3동 공영주차장 화장실,서울특별시 강동구 진황도로29길 34,서울특별시 강동구 천호동 167-195,1,1,0,0,0,0,0,1,0,강동구도시관리공단,02-2045-6147,상시,"""""",2005-06,37.53909,127.1332,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
53.0,개방화장실,법제3조제16호-영제3조제1항제1호,천호3동제2 공영주차장 화장실,서울특별시 강동구 성안로31마길 1,서울특별시 강동구 천호동 174-1,0,0,1,1,0,0,0,1,0,강동구도시관리공단,02-2045-6147,상시,"""""",2017-10,37.541,127.134,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,남자화장실+여자화장실,"""""",2024-01-29
54.0,개방화장실,법제3조제16호-영제3조제1항제1호,암사1동공영주차장 화장실,서울특별시 강동구 고덕로28길 36,서울특별시 강동구 암사동 산59-2,2,3,0,0,0,0,2,0,0,강동구도시관리공단,02-2045-6147,상시,"""""",2007-08,37.55312,127.1379,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+여자화장실,Y,N,"""""","""""",2024-01-29
55.0,개방화장실,법제3조제16호-영제3조제1항제1호,명일동공영주차장 화장실,서울특별시 강동구 구천면로 395,서울특별시 강동구 명일동 312-250,2,3,0,0,0,0,2,0,0,강동구도시관리공단,02-2045-6147,상시,"""""",2010-04,37.5512,127.1429,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
56.0,개방화장실,법제3조제16호-영제3조제1항제1호,천호유수지공영주차장 화장실,서울특별시 강동구 선사로 70,서울특별시 강동구 천호동 329,0,1,0,0,0,0,0,0,0,강동구도시관리공단,02-2045-6147,상시,"""""",1997-01,37.54498,127.1219,공공기관-지방자치단체,수세식,Y,N,"""""",Y,N,"""""","""""",2024-01-29
57.0,개방화장실,법제3조제16호-영제3조제1항제1호,강일동공영주차장 화장실,서울특별시 강동구 아리수로91길 54,서울특별시 강동구 강일동 665-4,1,1,0,0,0,0,1,0,0,강동구도시관리공단,02-2045-6147,상시,"""""",2009-12,37.56627,127.1725,공공기관-지방자치단체,수세식,Y,N,"""""",Y,N,"""""","""""",2024-01-29
58.0,개방화장실,법제3조제17호-영제3조제2항제3호,서경빌딩,서울특별시 강동구 성내로 19,서울특별시 강동구 성내1동 539-3,3,3,0,0,0,0,3,0,0,서경빌딩,02-485-0902,정시,06:00~24:00,2003-01,37.5302,127.1229,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
59.0,개방화장실,법제3조제17호-영제3조제2항제3호,브라운스톤 천호,서울특별시 강동구 천호대로 1006,서울특별시 강동구 성내2동 64-13,3,3,0,0,0,0,4,1,0,브라운스톤 천호,02-474-0637,정시,06:00~24:00,2008-01,37.538,127.1237,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
60.0,개방화장실,법제3조제17호-영제3조제2항제3호,홍익빌딩,서울특별시 강동구 천호대로 1124,서울특별시 강동구 성내3동 244-3,4,1,0,0,0,0,4,0,0,홍익빌딩,02-471-0993,정시,07:00~24:00,2003-01,37.5343,127.1362,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
61.0,개방화장실,법제3조제17호-영제3조제2항제3호,선린빌딩,서울특별시 강동구 양재대로 1448,서울특별시 강동구 길동 440,4,2,0,0,0,0,4,0,0,선린빌딩,02-470-9349,정시,06:00~24:00,2004-08,37.5351,127.1393,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
62.0,개방화장실,법제3조제17호-영제3조제2항제3호,동우빌딩,서울특별시 강동구 양재대로 1443,서울특별시 강동구 길동 458-5,2,2,0,0,0,0,2,0,0,동우빌딩,02-484-8033,정시,08:00~22:00,2006-01,37.5349,127.1385,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
63.0,개방화장실,법제3조제17호-영제3조제2항제3호,중부빌딩,서울특별시 강동구 천호대로 1135,서울특별시 강동구 길동 459-2,4,3,0,0,0,0,6,0,0,중부빌딩,02-470-9956,정시,07:00~23:00,2006-01,37.5346,127.1378,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
64.0,개방화장실,법제3조제17호-영제3조제2항제3호,일성오피스텔,서울특별시 강동구 천호대로 1121,서울특별시 강동구 길동 454-1,3,3,0,0,0,0,3,0,0,일성오피스텔,02-471-6607,정시,07:00~23:00,2006-01,37.5352,127.1363,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
65.0,개방화장실,법제3조제17호-영제3조제2항제3호,힐탑오피스텔,서울특별시 강동구 천호대로 1073,서울특별시 강동구 천호3동 449-49,3,2,0,0,0,0,6,0,0,힐탑오피스텔,02-473-1281,정시,07:00~23:00,2006-01,37.5366,127.1314,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
66.0,개방화장실,법제3조제17호-영제3조제2항제3호,501타워,서울특별시 강동구 올림픽로 782,서울특별시 강동구 암사동 501-1,2,1,0,0,0,0,6,0,0,501타워,"""""",정시,06:00~21:00,2007-01,37.5509,127.1281,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
67.0,개방화장실,법제3조제17호-영제3조제2항제3호,의정부 부대찌개,서울특별시 강동구 올림픽로 795,서울특별시 강동구 암사동 503-21,2,2,0,0,0,0,2,0,0,의정부 부대찌개,02-3426-6651,정시,08:00~20:00,1991-12,37.5522,127.128,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
68.0,개방화장실,법제3조제17호-영제3조제2항제3호,태성프라자,서울특별시 강동구 올림픽로 787,서울특별시 강동구 암사2동 503-23,4,2,0,0,0,0,4,0,0,태성프라자,"""""",정시,07:00~24:00,2007-02,37.5515,127.1277,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
69.0,개방화장실,법제3조제17호-영제3조제2항제3호,삼정빌딩,서울특별시 강동구 올림픽로 769,서울특별시 강동구 암사2동 512-17,2,2,0,0,0,0,2,0,0,삼정빌딩,02-3426-2691,정시,06:00~24:00,1981-01,37.5499,127.1272,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
70.0,개방화장실,법제3조제17호-영제3조제2항제3호,신라빌딩,서울특별시 강동구 천호대로 997,서울특별시 강동구  천호2동 456,2,2,0,0,0,0,2,0,0,신라빌딩,"""""",정시,06:00~23:00,2008-12,37.5393,127.1233,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
71.0,개방화장실,법제3조제17호-영제3조제2항제3호,웰빙메디컬빌딩,서울특별시 강동구 천호대로 1128,서울특별시 강동구 성내3동 378,2,3,0,0,0,0,2,0,0,웰빙메디컬빌딩,"""""",정시,08:00~22:00,2012-05,37.5342,127.1366,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
72.0,개방화장실,법제3조제17호-영제3조제2항제3호,남해빌딩,서울특별시 강동구 양재대로 1517,서울특별시 강동구 천호3동 51-7,2,2,0,0,0,0,2,0,0,남해빌딩,02-477-2757,정시,06:00~24:00,2012-12,37.5412,127.1409,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
73.0,개방화장실,법제3조제17호-영제3조제2항제3호,시온캐슬빌딩,서울특별시 강동구 양재대로 1661,서울특별시 강동구 명일동 306-1,2,2,0,0,0,0,2,0,0,시온캐슬빌딩,02-481-4488,정시,07:00~23:00,2013-01,37.5539,127.1439,민간소유-개인,수세식,Y,Y,여자화장실,Y,N,"""""","""""",2024-01-29
74.0,개방화장실,법제3조제17호-영제3조제2항제3호,강동그린타워,서울특별시 강동구 천호대로 1139,서울특별시 강동구 길동 459-3,3,3,0,0,0,0,4,0,0,강동그린타워,02-483-0046,정시,06:00~24:00,2013-10,37.5346,127.1382,민간소유-개인,수세식,Y,Y,여자화장실,N,N,"""""","""""",2024-01-29
